slug,last_commit_date,language,determination_tool,determination_date
burnsoftnet/BSServerMonitor,2019-12-01T00:01:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
jairvelaz54/ProgramaSolucionDeProblemas,2019-12-01T01:02:42Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
teamsmahdi/TP3-Ex3-Colis_TMW,2019-12-01T10:16:56Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
zjkl19/AutoReport,2019-04-21T01:13:55Z,VBA,github-linguist 8.0.1,2024-09-29T00:31:36Z
kleytonslopes/Locar,2019-12-01T10:59:53Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
schoquea/Generador3Capas,2019-12-01T11:43:22Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
CodeBeast357/VBSH,2019-12-01T15:13:49Z,VBScript,github-linguist 8.0.1,2024-09-29T00:31:36Z
Vitosh/VBA,2019-12-01T17:04:23Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
WillRy/desafio-docker-code-education,2019-12-01T17:58:23Z,Visual Basic 6.0,github-linguist 8.0.1,2024-09-29T00:31:36Z
VBDev2Dev/DBSetup,2019-12-01T19:54:12Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
JamieParsons111/Fallout-Console-Quiz,2019-12-01T20:31:50Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
FapCod/Laboratorio,2019-12-01T20:45:27Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
RinceRang/Module7Option1,2019-12-01T20:46:53Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
MarioFinale/MWBOT-TEST,2019-12-01T21:08:18Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
tylerdewitt117/CS449NineMensMorris,2019-12-01T23:36:05Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
mapacheco85/EjSuite,2019-12-01T23:40:08Z,Visual Basic .NET,github-linguist 8.0.1,2024-09-29T00:31:36Z
Jomixedyu/JxDccp,Unknown (repo deleted or no commits),,,
sforrester23/VB,Unknown (repo deleted or no commits),,,
TGReaPer1311/Lt,Unknown (repo deleted or no commits),,,
jbs84/Daydream-UWP-VB,Unknown (repo deleted or no commits),,,
